0.00338784799110541 0.000599602161628129 0.00101735779265354 0.00242483360857387 0.00292645416019965 0.00415205341346184 0.0066513997982427 0.008968189434894 0.00946596507174878 0.013558475471115 0.0125404959337465 0.0208494224997266 0.0283740294713131 0.0233819177802744 0.0197515471431364 0.0154082106402524 0.0198910622741081 0.0432358717973631 0.0831754381786056 0.11963616187585 0.143576532220086 0.136062319586384 0.0938580699963219 0.0719212013800077 0.0486733337082957 0.0271276058284869 0.0160529639680123 0.0112079987967308 0.00653542817536629 0.00558820984230877
0.00149281917309706 0.00160784205381333 0.00192038197240684 0.0032184278838037 0.0048034103908284 0.0102495289866798 0.0174307412794054 0.019777707849697 0.0169099033650742 0.0174048309721079 0.0128163062948417 0.0146394978574647 0.0117588091574644 0.0137956319463258 0.00740634298609861 0.022597991989433 0.026077307603774 0.0462266697684474 0.0797830084402961 0.0774504610070414 0.121015389108793 0.118160390848933 0.111557374418731 0.100538087198002 0.0506166320017332 0.0457711116574455 0.0261544237273155 0.0125206654488742 0.00394393142250792 0.00235437318956353
0.00187867902950463 0.0057235619072113 0.0186623576752443 0.0182124498867612 0.00892710486649928 0.00881320366765009 0.00674431656051258 0.00571060100485552 0.00418106469474493 0.0045024046659858 0.00547260071082901 0.0072585776713712 0.0125420893897293 0.0257387174693181 0.0572663287328578 0.109940798786566 0.0755694973175266 0.0855164426073916 0.0746300786541641 0.0648107429331275 0.0522642948675292 0.0654644791322658 0.090943969242867 0.0842962571587273 0.0621161483929611 0.0252663814195903 0.011660603276463 0.00325446218066509 0.00182919633423932 0.000802589762840882
0.00480930391115824 0.00321017419528338 0.00778043921748012 0.0139091503783797 0.0168975692944109 0.0125041076312747 0.0250933160814929 0.0200788254332929 0.0180230985152503 0.0130666178801159 0.0161968342918424 0.024494630684683 0.0216182165155787 0.0190472828157248 0.0212885846739983 0.0208075544848958 0.0291488908316144 0.0487764139364153 0.0644239777591323 0.0869285742967207 0.0997724025803492 0.0978237073808204 0.0861342588907486 0.0726599772660186 0.058667462475798 0.0411681191082664 0.0226743777002128 0.0150304488913311 0.00848923981806207 0.0094764430596481
0.00117702753076853 0.00246016197234883 0.00715187999683019 0.0113360602686896 0.0132677871161712 0.0128919766167515 0.0160242064305085 0.0166913843017221 0.0191059858275751 0.0207517526753961 0.0197822950229149 0.023843654213846 0.0238588728388778 0.0280691990559615 0.0271633117615468 0.0396894248193173 0.0459860491036552 0.0617351818502193 0.0745201770425078 0.0707451938602888 0.0886983052847667 0.0793286892354226 0.082189470160949 0.0753128368124 0.0612614795004506 0.0402451905460088 0.0212070798009862 0.00814489285716328 0.00466440307891162 0.00269607041704398
0.00176374087110932 0.00371179625467172 0.00479699070870737 0.00605714206013706 0.0063072613313745 0.00672938846062927 0.00623274313467513 0.00738597812666362 0.0115549661001733 0.0130205121676445 0.0140258519825674 0.0157390644239059 0.018089155428417 0.0141471421052743 0.0182360780594879 0.0303929864303699 0.0415810640399817 0.0651893551851475 0.0953242580538792 0.0988199490260114 0.110398161128695 0.0926720955194913 0.082456288469437 0.0773029018212818 0.060309199233342 0.0429045627669122 0.0292118876367621 0.0141379181704304 0.00702025328200158 0.00448130802081892
0.00310108602271326 0.0112397668534608 0.0263930496008326 0.0351883879214105 0.0273545257810928 0.0165119194365026 0.00943714357602412 0.00988825369801767 0.0129542981576086 0.0125980248858333 0.0161611490816797 0.0151294615618255 0.0117041120121259 0.0162362769758419 0.022129387323732 0.0262157177174007 0.0367922044341614 0.0532072133832096 0.0761508734313467 0.0909923190895474 0.0888467259574599 0.0930568865134044 0.0851311321561243 0.0694943260972976 0.0539310008184721 0.0369608520000666 0.0218142645537958 0.0126236453320483 0.00482202799432663 0.00393396763263741
0.0015692907013427 0.00198311824934177 0.00685472442620312 0.0114852975574064 0.0143353834716846 0.00872697542279814 0.00840037197750562 0.0190700190712943 0.0385816962322537 0.0541038933408742 0.055423386806994 0.0282609011496929 0.00985035367952133 0.00646468487283551 0.00682552477561165 0.0107208973317787 0.0161477641574537 0.0370723449886522 0.0616748145861674 0.0927273040875494 0.110821528439097 0.108475385972314 0.0890632716352221 0.0688807471137588 0.0524747534367114 0.0368322865505706 0.0226588305975709 0.0114179892220674 0.0058549313596294 0.00324152878609781
0.00141335032944021 0.00292761334289797 0.00452191958936432 0.00625367101740205 0.00823918133272775 0.00525840081084748 0.00408811213130993 0.00636910416378554 0.0133516508636519 0.02029676210302 0.0226869313169267 0.0223383924907112 0.0199497920166341 0.0297977338214302 0.0312934432354437 0.0295679852740556 0.0271114117561031 0.0306940691932215 0.0426161806830566 0.0653466597501004 0.0946746857873905 0.125919519517657 0.123033852066664 0.10506608270751 0.0666964807432732 0.0463169382703794 0.0237706728976733 0.0115876981405767 0.00581113345644602 0.00300057119029914
0.00190620350925171 0.00227444042621117 0.00325588220545055 0.00489808303465158 0.00967211124696865 0.0106284137533075 0.00483411058623174 0.00363100894346469 0.0080256086801452 0.0168210887131474 0.0240127803443714 0.0236666449104129 0.0238349520983232 0.0148442784494594 0.0168957121639855 0.0308021419709826 0.0405421253936666 0.0556198094490583 0.0547697052385559 0.0559347203775267 0.0714956713810599 0.088161392187836 0.1019965662322 0.098069875854237 0.0841012082620245 0.065716433948453 0.0414260830754977 0.0230404104846137 0.0118281732593737 0.00729436381953209
0.000274772218667155 0.000894825989874877 0.00123847703455911 0.00231974324264841 0.00474428292699085 0.00537028502398331 0.0041989215322916 0.00358884432004511 0.00572375554156052 0.00768918683169218 0.00988882525380325 0.0117897779491168 0.00671903055927511 0.00689503297740614 0.00729334997384453 0.0138398353744561 0.021266476292133 0.0415278207572596 0.0511127218053804 0.0680019852437136 0.0851667548796763 0.0982538907302771 0.134239272881756 0.133817759509238 0.103585604067013 0.0816456533574155 0.0446877882384219 0.0236221002693815 0.0106680509230634 0.00993517429505648
0.00664496843061841 0.00641931478205716 0.0114922524795937 0.0228724583744579 0.0283934463921402 0.0188625547151144 0.00682194330228272 0.00485518210604034 0.00803658595669621 0.0110059300642263 0.0152468359491304 0.0124131080382097 0.0120663877175415 0.011419842163707 0.0133330523208748 0.0224992243579332 0.0313149328177799 0.0415645740943008 0.0486984906506533 0.0638428700858583 0.0903995683021257 0.100191934893846 0.109325667201063 0.102843932258444 0.0869500589953025 0.0552268371837723 0.0323461150460996 0.0146709887679529 0.00508813443224138 0.00515280811993567
#-


#==========================================================================================================================
# Longline Survey Size Composition, NOT USED IN MODEL, include one year of fake data
#==========================================================================================================================
# Number of years: nyrs_srv2_size
1
# Longline Survey size comp years: yrs_srv1_size
1999
# Number of samples: nsamples_srv2_size(1,nyrs_srv2_size)
99
# Number of hauls: nhauls_srv2_size(1,nyrs_srv2_size)
99
# Index for size-age error matrix
1
# Observed longline survey size compositions (proportions at length): osc_srv2(1,nyrs_srv2_size,1,nlenbins)
0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333 0.0333333333333333


#==========================================================================================================================
# Size-age transition matrix: proportion at size given age: sizeage(1,nages,1,nlenbins)
#==========================================================================================================================
# Size-age matrix representing slower growth in the 1960s by 6% in the 60's and 70's: sizeage1(1,nages,1,nlenbins)
0.7989 0.1256 0.0545 0.0167 0.0036 6e-04 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.1145 0.1403 0.199 0.2116 0.1687 0.1009 0.0452 0.0152 0.0038 7e-04 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0033 0.0103 0.031 0.0724 0.1311 0.1842 0.2006 0.1694 0.1108 0.0562 0.0221 0.0067 0.0016 3e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 3e-04 0.0014 0.0055 0.0177 0.0452 0.0914 0.1465 0.1862 0.1875 0.1496 0.0947 0.0475 0.0188 0.0059 0.0015 3e-04 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 2e-04 0.0011 0.0045 0.0144 0.0371 0.0767 0.1277 0.1714 0.1852 0.1612 0.113 0.0638 0.029 0.0106 0.0031 7e-04 1e-04 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1e-04 3e-04 0.0015 0.0054 0.016 0.0391 0.0778 0.1262 0.1669 0.18 0.1582 0.1134 0.0662 0.0315 0.0122 0.0039 0.001 2e-04 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1e-04 6e-04 0.0025 0.0083 0.0224 0.0497 0.091 0.137 0.1698 0.1732 0.1456 0.1007 0.0574 0.0269 0.0104 0.0033 9e-04 2e-04 0 0 0 0 0 0
0 0 0 0 0 0 0 1e-04 4e-04 0.0016 0.0054 0.0152 0.0359 0.0702 0.114 0.1537 0.172 0.1598 0.1232 0.0788 0.0419 0.0185 0.0068 0.0021 5e-04 1e-04 0 0 0 0
0 0 0 0 0 0 0 0 1e-04 3e-04 0.0012 0.0043 0.0124 0.0298 0.0599 0.1008 0.1418 0.1666 0.1636 0.1343 0.0921 0.0528 0.0253 0.0101 0.0034 9e-04 2e-04 0 0 0
0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0012 0.0042 0.0118 0.0283 0.0568 0.0959 0.1361 0.1624 0.1629 0.1374 0.0974 0.058 0.029 0.0122 0.0043 0.0013 3e-04 1e-04 0
0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0015 0.0047 0.013 0.0301 0.0589 0.0974 0.1361 0.1606 0.1601 0.1349 0.096 0.0578 0.0294 0.0126 0.0046 0.0014 4e-04 1e-04
0 0 0 0 0 0 0 0 0 0 0 1e-04 6e-04 0.002 0.0061 0.0159 0.035 0.0655 0.104 0.1401 0.1603 0.1555 0.1281 0.0896 0.0531 0.0268 0.0114 0.0041 0.0013 4e-04
0 0 0 0 0 0 0 0 0 0 0 1e-04 2e-04 9e-04 0.003 0.0086 0.0209 0.0433 0.0763 0.1145 0.1464 0.1596 0.1482 0.1173 0.0791 0.0454 0.0222 0.0093 0.0033 0.0013
0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0016 0.0049 0.0129 0.0289 0.0553 0.0907 0.1272 0.1525 0.1564 0.1371 0.1028 0.0659 0.0362 0.017 0.0068 0.0032
0 0 0 0 0 0 0 0 0 0 0 0 1e-04 2e-04 9e-04 0.003 0.0082 0.0197 0.0405 0.0714 0.1079 0.1399 0.1557 0.1486 0.1217 0.0856 0.0516 0.0267 0.0118 0.0065
0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 6e-04 0.0019 0.0055 0.0139 0.0302 0.0565 0.0908 0.1257 0.1496 0.1533 0.1352 0.1025 0.0669 0.0376 0.0182 0.0114
0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0013 0.0039 0.0102 0.0232 0.0454 0.0767 0.112 0.141 0.1532 0.1436 0.1162 0.0811 0.0488 0.0254 0.0178
0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 2e-04 9e-04 0.0028 0.0077 0.0182 0.0371 0.0654 0.0998 0.1316 0.1501 0.1481 0.1264 0.0933 0.0596 0.0329 0.0255
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 7e-04 0.0022 0.0061 0.0148 0.031 0.0565 0.0893 0.1224 0.1454 0.1498 0.1337 0.1036 0.0695 0.0405 0.0343
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0017 0.0049 0.0123 0.0265 0.0495 0.0806 0.114 0.1401 0.1495 0.1387 0.1118 0.0783 0.0476 0.0436
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0014 0.0041 0.0105 0.023 0.0441 0.0734 0.1066 0.1346 0.1481 0.1418 0.1183 0.0859 0.0543 0.0533
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0012 0.0036 0.0091 0.0204 0.0397 0.0675 0.1001 0.1295 0.146 0.1436 0.1233 0.0923 0.0603 0.0628
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0011 0.0031 0.0081 0.0184 0.0363 0.0627 0.0946 0.1247 0.1436 0.1445 0.1271 0.0976 0.0656 0.0722
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.001 0.0028 0.0074 0.0168 0.0336 0.0588 0.0899 0.1204 0.141 0.1447 0.1299 0.1021 0.0702 0.081
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 9e-04 0.0026 0.0068 0.0156 0.0315 0.0555 0.0859 0.1165 0.1386 0.1444 0.132 0.1057 0.0742 0.0894
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 2e-04 8e-04 0.0024 0.0064 0.0147 0.0298 0.0529 0.0826 0.1132 0.1362 0.1439 0.1334 0.1087 0.0777 0.0971
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 2e-04 8e-04 0.0023 0.006 0.0139 0.0284 0.0507 0.0798 0.1102 0.134 0.1431 0.1345 0.1111 0.0806 0.1043
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 5e-04 0.0017 0.0046 0.0109 0.023 0.0427 0.0698 0.1003 0.1269 0.1413 0.1386 0.1197 0.0909 0.1289

# Size-age matrix using mean estimation for 1980s-2000s: sizeage2(1,nages,1,nlenbins)
0.7631 0.1146 0.0687 0.0338 0.0137 0.0045 0.0012 3e-04 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.109 0.1085 0.1534 0.1776 0.1682 0.1304 0.0828 0.043 0.0183 0.0064 0.0018 4e-04 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.002 0.0056 0.0166 0.04 0.0789 0.127 0.1669 0.1792 0.1571 0.1124 0.0657 0.0313 0.0122 0.0039 0.001 2e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1e-04 3e-04 0.0014 0.0053 0.0159 0.0388 0.0775 0.126 0.1669 0.1802 0.1585 0.1137 0.0664 0.0316 0.0123 0.0039 0.001 2e-04 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1e-04 6e-04 0.0026 0.0089 0.0246 0.0549 0.0999 0.1479 0.1782 0.1746 0.1393 0.0904 0.0477 0.0205 0.0072 0.002 5e-04 1e-04 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1e-04 5e-04 0.0022 0.0077 0.0219 0.0504 0.0943 0.1432 0.1768 0.1774 0.1446 0.0958 0.0515 0.0225 0.008 0.0023 5e-04 1e-04 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1e-04 7e-04 0.003 0.0099 0.0269 0.0593 0.1059 0.1536 0.1808 0.1727 0.1339 0.0842 0.043 0.0178 0.006 0.0016 4e-04 1e-04 0 0 0 0
0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0015 0.0056 0.017 0.0416 0.0824 0.1323 0.1721 0.1816 0.1554 0.1077 0.0606 0.0276 0.0102 0.0031 7e-04 1e-04 0 0 0
0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0042 0.0133 0.0342 0.0714 0.1207 0.1653 0.1832 0.1645 0.1196 0.0704 0.0336 0.013 0.0041 0.001 2e-04 0 0
0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.001 0.004 0.0127 0.0332 0.0699 0.1192 0.1645 0.1836 0.1658 0.1212 0.0717 0.0343 0.0133 0.0042 0.0011 2e-04 0
0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0012 0.0047 0.0146 0.0371 0.0762 0.1263 0.1694 0.1837 0.161 0.1141 0.0654 0.0303 0.0113 0.0034 8e-04 2e-04
0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0018 0.0065 0.0193 0.0463 0.0896 0.1402 0.1773 0.1811 0.1495 0.0997 0.0537 0.0234 0.0082 0.0023 7e-04
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.003 0.0102 0.0279 0.0616 0.1099 0.1582 0.1838 0.1724 0.1305 0.0798 0.0394 0.0157 0.005 0.0016
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0015 0.0056 0.0172 0.0424 0.0843 0.1354 0.1753 0.1831 0.1543 0.105 0.0576 0.0255 0.0091 0.0034
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0033 0.011 0.0297 0.0648 0.1139 0.1616 0.1848 0.1704 0.1267 0.076 0.0367 0.0143 0.0059
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.002 0.0073 0.0214 0.0504 0.0957 0.1466 0.1809 0.1799 0.1442 0.0931 0.0485 0.0203 0.0092
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0013 0.0051 0.0159 0.0399 0.081 0.1323 0.1741 0.1845 0.1575 0.1083 0.0599 0.0267 0.0132
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0037 0.0122 0.0324 0.0694 0.1197 0.1662 0.1858 0.1672 0.1211 0.0706 0.0331 0.0175
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 6e-04 0.0028 0.0096 0.0269 0.0604 0.109 0.1583 0.1851 0.1741 0.1317 0.0802 0.0393 0.0219
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0022 0.0079 0.0228 0.0533 0.1 0.1509 0.1832 0.1788 0.1404 0.0886 0.045 0.0264
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0018 0.0066 0.0198 0.0478 0.0926 0.1443 0.1807 0.182 0.1473 0.0959 0.0501 0.0306
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0015 0.0057 0.0175 0.0434 0.0865 0.1385 0.1781 0.1841 0.1529 0.1021 0.0547 0.0346
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0013 0.005 0.0157 0.0399 0.0815 0.1335 0.1756 0.1855 0.1574 0.1073 0.0588 0.0383
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0044 0.0144 0.0372 0.0774 0.1292 0.1732 0.1864 0.1611 0.1117 0.0622 0.0415
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.001 0.004 0.0133 0.035 0.074 0.1255 0.171 0.1869 0.164 0.1155 0.0652 0.0444
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0037 0.0124 0.0332 0.0712 0.1225 0.1691 0.1872 0.1664 0.1186 0.0678 0.0469
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0035 0.0117 0.0317 0.0689 0.1199 0.1674 0.1874 0.1683 0.1212 0.07 0.0491
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.0028 0.0099 0.0278 0.0624 0.1122 0.1618 0.1871 0.1734 0.1288 0.0767 0.0563


#==========================================================================================================================
# Ageing error matrix: proportion at reader age given true age: ageage(1,nages,1,nages)
#==========================================================================================================================
0.9844 0.0156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.035 0.9299 0.035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0.0591 0.8818 0.0591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.0848 0.8304 0.0848 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1e-04 0.1101 0.7796 0.1101 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 5e-04 0.1339 0.7314 0.1339 5e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0.0012 0.1555 0.6866 0.1555 0.0012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0.0027 0.1745 0.6455 0.1745 0.0027 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0.0051 0.1908 0.6081 0.1908 0.0051 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0.0084 0.2045 0.5741 0.2045 0.0084 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1e-04 0.0127 0.2156 0.5432 0.2156 0.0127 1e-04 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 2e-04 0.0178 0.2244 0.515 0.2244 0.0178 2e-04 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 5e-04 0.0237 0.2311 0.4894 0.2311 0.0237 5e-04 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 9e-04 0.0301 0.236 0.466 0.236 0.0301 9e-04 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0.0016 0.0369 0.2393 0.4446 0.2393 0.0369 0.0016 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0.0025 0.0438 0.2412 0.4249 0.2412 0.0438 0.0025 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0037 0.0507 0.2421 0.4068 0.2421 0.0507 0.0037 1e-04 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0052 0.0576 0.242 0.3901 0.242 0.0576 0.0052 2e-04 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.007 0.0642 0.2412 0.3747 0.2412 0.0642 0.007 3e-04 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5e-04 0.0091 0.0705 0.2398 0.3604 0.2398 0.0705 0.0091 5e-04
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8e-04 0.0115 0.0764 0.2378 0.3471 0.2378 0.0764 0.0123
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012 0.014 0.0819 0.2355 0.3347 0.2355 0.0972
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0017 0.0168 0.087 0.2328 0.3231 0.3384
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0023 0.0198 0.0917 0.2299 0.6561
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.003 0.0228 0.096 0.8779
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0039 0.026 0.9697
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5e-04 0.0049 0.9945
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.9992


#==========================================================================================================================
# EOF marker
#==========================================================================================================================
42
#!
